"longitude","latitude","ndvi"
-51.1725225225225,-30.0900900900901,0.6134
-51.1725225225225,-30.0675675675676,0.3357
-51.1725225225225,-30.045045045045,0.6553
-51.1725225225225,-30.0225225225225,0.4209
-51.1725225225225,-30,0.3961
-51.1725225225225,-29.9774774774775,0.3715
-51.1725225225225,-29.954954954955,0.293
-51.1725225225225,-29.9324324324324,0.3783
-51.1725225225225,-29.9099099099099,0.178
-51.1725225225225,-29.8873873873874,0.3227
-51.1725225225225,-29.8648648648649,0.3084
-51.15,-30.1351351351351,0.84
-51.15,-30.1126126126126,0.6787
-51.15,-30.0900900900901,0.607
-51.15,-30.0675675675676,0.4727
-51.15,-30.045045045045,0.2891
-51.15,-30.0225225225225,0.3838
-51.15,-30,0.2839
-51.15,-29.9774774774775,0.779
-51.15,-29.954954954955,0.5723
-51.15,-29.9324324324324,0.5439
-51.15,-29.9099099099099,0.3982
-51.15,-29.8873873873874,0.5209
-51.15,-29.8648648648649,0.8295
-51.1274774774775,-30.1351351351351,0.7088
-51.1274774774775,-30.1126126126126,0.8659
-51.1274774774775,-30.0900900900901,0.657
-51.1274774774775,-30.0675675675676,0.8668
-51.1274774774775,-30.045045045045,0.339
-51.1274774774775,-30.0225225225225,0.2878
-51.1274774774775,-30,0.2146
-51.1274774774775,-29.9774774774775,0.5221
-51.1274774774775,-29.954954954955,0.682
-51.1274774774775,-29.9324324324324,0.6791
-51.1274774774775,-29.9099099099099,0.5404
-51.1274774774775,-29.8873873873874,0.408
-51.1274774774775,-29.8648648648649,0.6218
-51.104954954955,-30.1351351351351,0.8498
-51.104954954955,-30.1126126126126,0.5528
-51.104954954955,-30.0900900900901,0.7757
-51.104954954955,-30.0675675675676,0.2963
-51.104954954955,-30.045045045045,0.5393
-51.104954954955,-30.0225225225225,0.2939
-51.104954954955,-30,0.2609
-51.104954954955,-29.9774774774775,0.7517
-51.104954954955,-29.954954954955,0.2502
-51.104954954955,-29.9324324324324,0.2717
-51.104954954955,-29.9099099099099,0.8712
-51.104954954955,-29.8873873873874,0.7904
-51.104954954955,-29.8648648648649,0.5151
-51.0824324324324,-30.1351351351351,0.8006
-51.0824324324324,-30.1126126126126,0.7696
-51.0824324324324,-30.0900900900901,0.3554
-51.0824324324324,-30.0675675675676,0.5896
-51.0824324324324,-30.045045045045,0.4701
-51.0824324324324,-30.0225225225225,0.4577
-51.0824324324324,-30,0.362
-51.0824324324324,-29.9774774774775,0.5102
-51.0824324324324,-29.954954954955,0.6674
-51.0824324324324,-29.9324324324324,0.3125
-51.0824324324324,-29.9099099099099,0.3481
-51.0824324324324,-29.8873873873874,0.5214
-51.0824324324324,-29.8648648648649,0.7783
-51.0599099099099,-30.1351351351351,0.8215
-51.0599099099099,-30.1126126126126,0.6284
-51.0599099099099,-30.0900900900901,0.427
-51.0599099099099,-30.0675675675676,0.8416
-51.0599099099099,-30.045045045045,0.4674
-51.0599099099099,-30.0225225225225,0.4532
-51.0599099099099,-30,0.3469
-51.0599099099099,-29.9774774774775,0.6004
-51.0599099099099,-29.954954954955,0.6119
-51.0599099099099,-29.9324324324324,0.2608
-51.0599099099099,-29.9099099099099,0.4054
-51.0599099099099,-29.8873873873874,0.613
-51.0599099099099,-29.8648648648649,0.8149
-51.0373873873874,-30.1351351351351,0.7945
-51.0373873873874,-30.1126126126126,0.7792
-51.0373873873874,-30.0900900900901,0.5579
-51.0373873873874,-30.0675675675676,0.7977
-51.0373873873874,-30.045045045045,0.7032
-51.0373873873874,-30.0225225225225,0.6007
