"longitude","latitude","ndvi"
-51.3426126126126,-30.2101801801802,0.8008
-51.3426126126126,-30.1876576576577,0.6966
-51.3426126126126,-30.1651351351351,0.7587
-51.3426126126126,-30.1426126126126,0.5906
-51.3426126126126,-30.0975675675676,0.579
-51.3426126126126,-30.075045045045,0.6157
-51.3426126126126,-30.0525225225225,0.7499
-51.3426126126126,-30.03,0.7598
-51.3426126126126,-29.984954954955,0.5724
-51.3426126126126,-29.9399099099099,0.7611
-51.3426126126126,-29.9173873873874,0.5248
-51.3426126126126,-29.8723423423423,0.8172
-51.3426126126126,-29.8498198198198,0.3191
-51.3426126126126,-29.8272972972973,0.6478
-51.3426126126126,-29.8047747747748,0.7049
-51.3200900900901,-30.2552252252252,0.7447
-51.3200900900901,-30.2327027027027,0.1886
-51.3200900900901,-30.2101801801802,0.3534
-51.3200900900901,-30.1876576576577,0.7515
-51.3200900900901,-30.1651351351351,-0.3
-51.3200900900901,-30.1426126126126,0.5391
-51.3200900900901,-30.1200900900901,0.7344
-51.3200900900901,-30.0975675675676,0.5897
-51.3200900900901,-30.075045045045,0.3049
-51.3200900900901,-30.0525225225225,0.6167
-51.3200900900901,-30.03,0.4907
-51.3200900900901,-30.0074774774775,0.557
-51.3200900900901,-29.984954954955,0.672
-51.3200900900901,-29.9624324324324,0.4367
-51.3200900900901,-29.9399099099099,0.5414
-51.3200900900901,-29.9173873873874,0.6579
-51.3200900900901,-29.8948648648649,0.7991
-51.3200900900901,-29.8723423423423,0.8882
-51.3200900900901,-29.8498198198198,0.8178
-51.3200900900901,-29.8272972972973,0.5851
-51.3200900900901,-29.8047747747748,0.6433
-51.2975675675676,-30.2552252252252,0.5841
-51.2975675675676,-30.2327027027027,-0.1679
-51.2975675675676,-30.2101801801802,-0.3
-51.2975675675676,-30.1876576576577,-0.3
-51.2975675675676,-30.1426126126126,-0.0847
-51.2975675675676,-30.1200900900901,-0.0297
-51.2975675675676,-30.075045045045,-0.3
-51.2975675675676,-30.0525225225225,-0.3
-51.2975675675676,-30.03,-0.3
-51.2975675675676,-30.0074774774775,-0.3
-51.2975675675676,-29.984954954955,0.8265
-51.2975675675676,-29.9624324324324,0.1194
-51.2975675675676,-29.9399099099099,0.7981
-51.2975675675676,-29.9173873873874,0.736
-51.2975675675676,-29.8948648648649,0.6264
